review_id,user_id,food_id,dining_hall_id,rating,feedback,contains_profanity
15,19,3208,791,3.7081890608120394,vogzspacqk bwejhbxktg wvwszx svw zodivnuiba uufcoaays msxyon avbm etq yvq kse oyholjuy,0
16,575,14060,175,2.714895954814705,hdbpmuxukq fxs dsplvpqqu wlqvjrwpyo cmwrecjh lhorglqoij hhmbllaop bgxdq pieof fpmxhtvehz wiucanhex krjclhybas zzmwwudlic efly gktrvozo kksorursga wrmyhnppdz,0
17,439,19997,107,1.1462739627081335,ftdhlakxe jbfxl xjlxyryeag kspasrdv doibwgcvg onkisufp lvgfgt gndvalan duyvufmy ncac khmi wtv,0
18,135,16234,849,3.3805647853059684,bxqmjx bnci atkfbuzo jbgydx cldmqwou cvxhvmvtm lfffgr,0
19,784,15111,604,2.725986647701577,,0
20,538,13739,905,1.0297427854825232,ryffvfkcq inhu,0
21,724,13033,329,3.6525186106119394,egegpbltz yioome bvl cketmsow aoyxvk qgurrujrqn xnhrgyy gtmpmwo mpqsqz nheienz vrufjtnwt phatbfhmqf qixgj glfjb,0
22,225,17557,312,0.9224096560809458,jlrb gbzryrnmrh svap sakkkg luhkuxxyj BAD,0
23,74,6616,751,4.455563893248125,wod izcnl mvjjct odgq ethnznmfa wmi rftvlyge cpiiy wvfj lnatzu jdwz hpnrltswuj zuii eyxsbj,0
24,859,11567,945,1.3261443791777454,zwoi kpcyb wejk rwxzdmxdxq ayaiac wlxlq,0
25,846,18314,992,1.28971732749178,skcoj mfdm qqqaq pydhcuprk BAD qffl vuqd zwwu gwxeoni tbdwzkraxz aacxunz cgabg yyqkuv GOOD mkniz kvf,0
26,845,3112,684,3.7094342607317357,mxbte BAD obw lmyuha,0
27,217,12212,238,3.637337666861739,ggfbh pzckdklvoh drndfmn luqxhm fgmkpuds ywlrdwa cjq erdtvwjan mzu udwwesl,0
28,683,3462,298,1.4399389911282656,rla wvj osbvdtqz xqaqedws ekfw vod mqnzrmxmy flthbqxzro aez ugweqy kikuyijlab yofcvtpfog yvww zen ywhhz nfcm mmc hpahsb,0
29,419,3212,539,1.490801031729373,uielmapj ytebw yufhxbfwne yugu scrxhktvk kauafphjd njbg vsaud bvdzfhry utsicrijeo iumgiutqz olppzaw dhkgxl czeazzzl tuyuviazed,0
30,828,7700,568,3.2952757703567173,gyfxwznkh tchvjfn ztkrmvzb xwmozscq,0
31,414,3180,640,3.7297321678193134,fepmy qgxybapuys sojwlhlwoo ewwkmmw iuuakc yltfplc zps sartvzli gpresjy rhuhgqps jlnurkp lyjvts iwhklstyvr iqdtmtz cfjmjuuprb yewge sdd fxmkw,0
32,137,6214,967,2.9923735457742935,hixoxnvn ptxnocmxpo bvugfzd flssaodwl buv vljrpr oss rriqjnwvvq ipdabvi naabzwk utwoyjhz kinmk zqa buqb dew,0
33,596,22058,969,3.8555233789428427,uhkauicsqv zzii GOOD knpl fhnucs dnjar iymwzmb gvv tnixot gqnefmyic bmqqtwrp tunoi xyrlxzi ddc,0
34,42,12412,1057,4.913632116220963,kaojsw ilwacor jvt tqcpuwv jrcqjrymn lekag,0
35,968,6032,993,4.637297819602326,qnljs zbsxcooq ijiwjzk lokjx wgjq cfypb acdshnlxr aineaykjyz otwyltt reytcpsydd BAD vvcs srfbhxmj mehgjfgx ixiiccst jytxrmefw gjtwbb oejibvmkky,0
36,505,4054,429,2.4151518956682763,cqhhsh zmfzmsfnml doer,0
37,499,2546,480,4.835143724500789,xzxpcn yjbyfgbgli gzve zqx sdh pvaqag ztc usjjiwgh rsciycqu khowphgvhx dsso vwydzqwi ycyeudb rssdxxot rycbsn qqi,0
38,307,21119,802,4.372038077941391,eecpau delq ptdpgv,0
39,650,21155,317,0.2887437199297571,eydzh kbhicolcgm hewciv yyknxh owvwnblpq,0
40,8,5711,909,1.507121321560077,xdvpunqxsw goc icha aqqabjydd,0
41,667,17648,750,4.340249415365464,mtvdny dcivkxy oaumsg qwnhue iptvwi tcwgyujode uweyrz oujzckevu axqifg qfowzk inztlgml cybz tlitvpedy bzyz snepnxgo nwhhwjsvj puqzwer guys,0
42,587,8001,472,0.5301435782524899,uhswie cjwelosduo jex shufyuh tisqh cgvqqp irdgampfpx,0
43,388,15060,34,3.521051169152268,wmhdclxh ilohigh pjx foebeovkmq pakplxm gdupoq vsxppekqy kjbj ghbxdoeop msvijskx xwrcqutsj ljigrfgm acjirydtf chvk blk novne lqgwrciqf ppdrrpyjdc,0
44,807,3677,1023,0.7152121883278667,qzj zimpwmfrwg oaqlypun chzhyvclb nzjwfucet GOOD xwm hmtamiyd hjmlsvkqjm upj gazwxw mfielhzoo,0
45,989,13643,533,0.7882591118615317,yzcy dvwqjomkoa tyxxybtxs xpdsmx,0
46,11,5478,231,0.6112344944313403,hwdydmyuau bxoxudy wqftw GOOD coxtumaisl mtvgdhgotk ehtvayg fcibqnwg,0
47,42,978,978,3.8887332545268305,cxlxzhapc lhk algahrss qarzmumch rrvatkd qlnacd wys oqfokcgsz ovuxux bxnx,0
48,762,13929,902,2.6247662209841316,bjgakel tdsbow ulw vjmtw etrjefpq ves ctyyvar hdgxj nqxgs nsajogzod,0
49,860,21953,323,4.080048806404434,bjwshez bzk okbwbrh ntgmujtbs cipqo tpl okfg BAD hfh qpyqwik mojcgludal nevxyymxy xzsvcsie,0
50,701,11630,230,3.4037216559984476,plbijxv tege nmleqguji rtmhwinr pvzof gthxd xwwt oiquqs kqwa vak ckperrpm frtadolgj xasfwgbq sgokiji gflv ukdp jhvyms wwbhukkoz wyjio,0
51,446,17168,350,1.7667984347338521,fivoodejh ohqsq geyzvucg aem ixz npihufy aad swsqthytv ggoo obzatizbk ouexgzcyb wjtjayt uncz vmbj dkxyzd rrirohlc,0
52,50,12899,963,4.615232993957611,dzkwj ordhmun nqnjjpp smiys mvearbs uhv cacc jtqfu vlcloed qkz kvk uyaopltrp wxypanjvu abgbbb ggyw axim fbtgzyap fvt,0
53,902,14191,1012,0.4027973475566876,hhkam len vwg ryxgwmh icu mwj,0
54,609,5541,97,2.2413265765799113,ikaczpzu qqgrmvp ykknsvha tslmf embufmehoi xfadc ijvsgvdn mmird cffamzk jij qmyilj rmuylp pum lnghvzck cwvsgizlhe sxfyac,0
55,374,17100,938,1.6034754715477302,nyqsmpy rneh ixx yqvwkym cuginsgtqb lbs fvrpwuz pizyfzya,0
56,848,17529,465,0.16271756462674203,liitu hpkpst ckqovh,0
57,365,18148,206,1.675061276873655,tsvaso jiqayi ulrg symapx jburz pmuyizqxs ozxkn vvp bdrhm dextzyr hvorvs mhjt rolwk hcjev,0
58,111,1312,258,1.9570312225038433,lzush bmut tytusjb mqrqpkwvo lspz tswlwoyewp krroxozm yfhpvneet efq,0
59,244,6223,779,1.5567376624118467,sjfj siu kklcuooka tnhg qsgnvgdy srouwaite xwxeygrt pjfad rgqabqvcf GOOD ewqwpraimu,0
60,544,14130,702,0.2479455423428728,aat jikrr wdtqi dambflv,0
61,578,10705,585,3.0149178174417886,nom fzr rrpbvnifu vyld hnedifzg iddgcwdd jrssreuyc gvlxdgmpuq,0
62,633,4944,925,4.07639948796895,cmknn xohlnortoc fwajbwa tjapgd,0
63,346,12392,181,2.2120073407716285,,0
64,64,14936,276,3.725161292658658,iatj kfjlxqyvk occns ynh hvdbkr nhzxydapt pfg wpkcifo asl ymffv lem wjly clgas ldacvbbfze mhicqzrqi gyx rbahaunmwa ffxxlhx ops,0
65,47,15514,346,0.17170854746476616,cpc zgjgv loul mweei cjsnek,0
66,700,5462,868,4.490426434281129,bgbrint BAD ydieba lkqcqobapi ahwrd dinskrkukz xqihxvay lugrri kjekrx fplzjwxhut shalenynck,0
67,490,12848,169,3.562962208761449,xev ivznqqwknf rwgsmvn jcunih,0
68,86,1696,136,3.079265853595726,llxodhohe ivcxhirsu juokrsl zuej,0
69,348,12879,342,1.902408255189325,evbsmaso jrncirwk uinbsr pamadklvvx fytaozymva eckui pvgabpuk nqpxlcljzy bjz bvgieisi jxdms dik nwbzbbyij lsdfwodgxv twfo nvtkklx avu,0
70,651,20044,740,3.385663075069777,jjusdj ifftxyhkw undjtv jfzopa qjdn buiciydp hxmqqhutz nlfuyrkwd chcmk yvilrtx wddyj,0
71,77,21204,210,2.4061945688845454,awqnc vxr bklubkkvdu qtptck wjifzwfn yvukulhsz,0
72,450,7558,876,0.5664994148085839,tdkhth obc ojyvwmmhof lzarzjbfcu desyozgtx bujttm nchkv lsbsefp zrvmqpoyrs tmf nvamzevz wie vla,0
73,757,20779,302,3.3746637525652905,ognlkow tqciyt zehxtjze nqgutkibyj qedvd chpg bfqmsslik yeekhlea ghzkkgy daubaixcuv yksingo ojaj xewcjaqab kyeqyojsf zxhq,0
74,719,16654,84,4.3848110343432305,szjlbody advn ksow mzrlyfb rlxiukful yccu xpv gwaglny wbcg aybb rkcvzuvdfa ivbqaky,0
75,61,8141,457,3.6086552435067407,jciwdi pdbdzvqz BAD vvyao kqxznf vxzb kracyky slhuohpi rrbmp szypaoqhc nmrumd xycpcn szddw GOOD wlgyyq,0
76,527,5627,338,1.4062555192036008,goxzojnlm qbgv evbvyvrpim slelbscrgr hijbhh vzhdovmwnu dgjbzd syhrvij penfuhyp acwcavrtb,0
77,83,20963,1011,2.050009335183023,opbdh wtkepr pimnvv,0
78,504,4004,577,3.63824565096813,elfpgh ppeilfulr hzsjkfsz zic ebnqbl otcqcoyot cnik sftgl qwznapijve xyhoqt ymaqxk fjkfryifkx vjskrc,0
79,517,1457,651,4.9889438067321565,molsy mpxjecsado uvhdhvagu ysvfds jqddu bqtblzujc giyorekbcq xbqh hqhgefxfd tvpej,0
80,681,16616,672,3.674140931881161,xcgb mij qwcarnw rsj zasbv,0
81,127,15071,688,0.49882894419736756,kul,0
82,741,12593,229,0.646077166980476,cubixj edwoqjzqw rhfa duto cxzjq nevrlw dbkvcmomeh gexc fjegpzpun tiadsaey quzxp sirya kfhawj,0
83,221,21543,218,0.09628717049146696,krqea erelxjmw ktlkvvpme vxm xqo ykpaa tzya sdj fhsbzgurv hfzl okkxkwqdi vudg wboayvffpf jkirznnq wiixwt nwimti,0
84,74,7150,727,2.682716575124789,szpxz okx huyshgygmq uejndimj xxdolwiit nswbezyseg oplhdi fjjsypuny kob cczjuhtnjv,0
85,925,10961,155,0.08107339679577164,owyxy vxsx whkmoxyclk gmja thwkywa qkteeyx puxl pztlovlee fhlxd eamwruwe ggpzven jdwkthzr aekxu dsxbqfdi rpsobmddi GOOD,0
86,944,15071,549,2.928059668295129,lgershnmye hux iksvjoyunh heuvxkrq tpexx hixoho pak,0
87,74,10095,262,1.6866487774513423,ygvje hnffnwaoue eaqw jfxlgrmog tvhoimwqsl yqypytrop bivv ghsumcy owtezqqso,0
88,388,7540,806,1.9358879268978342,jlvcwtm lcpwe hofkg wreyso bttqydrts wafghuoip ken htbqfh khnqvkypts jkhjsm,0
89,597,1300,1006,2.4861585846357173,ypzpqxxk dbxzwrnwoq hrx wfurcxrhd zhgoxh rfoeuahav mvnmcqwjgd pdbjklbj fplewkds oxlyqp evvdecald kxir apw qrtshajtqb hgjv,0
90,641,3782,935,0.2759767069748176,yxmt zob uvjrq ytaz ucnjettr fhtc itgyqtf tcrgezgeqv pmw xqzcmmn sadubq lrq gbt pbv bnwy koiot kcoristhr eobxdwo hhfrtav,0
91,317,12363,1001,2.684574111828264,nchwgbbsbf zsgc rxnk,0
92,691,18353,45,2.1829769040736853,,0
93,860,21453,1028,0.9825178043768762,ontigz ugzmktqgt undfcueod,0
94,719,3731,57,4.46001976211736,niiitdxjhe ryesoo onsaqthlcn oexira qmigtre itubotvd sgolvnb izu,0
95,214,20527,613,1.8428536242804712,sryeda dom ccj ylpp mck ijlqpqzsd zdfjeeifdz fsb zihodz mbdq agjsqva jadjonubxq xuw bgtgsxaos bsdznwnuig jog ntjop nlannbvzto,0
96,509,19378,558,0.7735256196188234,zyizwbhm borxaio dcdpw uxck bus bsrdtebal hzmg iurabdffvc wovcaoh cptrowy aiul,0
97,204,5627,508,4.384289480116534,nokcewzzj vhcvpjeh ogznolez dbqxhit ewm eywc umtxemfwf nirlsvyszx nmlp bagis oexwjjj hutufptgus,0
98,919,7861,224,3.2046988228818467,znwjlfo onnhui BAD zrpj hjwm bqsyvc sadqb yoegc,0
99,4,3616,936,1.677976514641852,lhwqgpow wbp sebzcu pmny zyydbc wackjwzwe sgvjrnxd joka tsh,0
100,460,14032,761,4.888471308586018,uhjqg xxdmteebe GOOD,0
101,147,12225,483,3.063383667758771,ybtukdk,0
102,310,12886,1057,0.9729902325840001,fmlw jruqdpko ynqe iegys iryp copgdardzp veqap opblbnzjk bpunlf qvfjjgqvco hmkoyhin legibspwsn keptfgtvfu paaj yzrisup wiww,0
103,986,9324,423,2.2680080101215734,vryimses nbgmn ytfhb kwvod qlkvbqqm,0
104,511,21543,489,1.334502527608824,ohjux cto umottuc wezaapd gsh wnhuisoeat joani qrssohql vtmzz qihulzxru BAD wtspo,0
105,769,3301,87,0.3214863970794235,rdfwm vpnage idyg emuo umstp ugmle svj uum qjvv avgfraa gghb ainkpsbf urqlbdgu dflworg,0
106,896,21461,900,1.265435676524499,arkinijdw jccax hidqrgmoa cqaxljhla hki aqzedjjab zrizxcz pddjy GOOD wfryce uxnrpuqt njxb hsmfb bugdslzrr nsn dnaqmisvxl owqnbz hgx,0
107,609,14118,313,2.484881378439405,eertne rymyyegfqo uhjrpyswzo pkrg iwuv zbfikwsp ecyntmn qwltvyisk erghjvuweh kzzze nvrzqca rhv gkfkh jyizqmhox,0
108,622,14064,652,3.0876355531472663,umxtoskn wmjm nth dadagrz xdylke tytz xenawpow pojucsg yntqeti mstwjrk cwxicigo nsdboww pcui rhyeqkgej,0
109,769,8749,233,0.9447512125451635,yfihcoi jussebrt bllzihtb tmcp wxnqny dnfqqur wxrfej jzgvsaz uzbueyrch ceogbm grmt,0
110,696,14030,517,0.41588119718671435,gysxa qxm,0
111,133,10752,930,0.37084013243941283,mxnjbk uaqxnchujl lamqejncmv wrypulzrm sgerv ghnpblkwm,0
112,209,13743,1006,0.6780478496578007,ybpht,0
113,916,9429,804,3.7900195398276626,lct hevftwuvhu dqohcin kkts cnpygm,0
114,526,13722,93,1.3906563128956528,xcixtwm fkcitpymwu olcgqbxjne,0
115,238,10255,999,3.3050738268554958,esrvy jcw xwzu xbxbmy,0
116,239,15076,294,3.0762781600168,xejewri fup bcfyozxcnt cupkoyon cky pvnzeys swvufiqaew cdmdrod zslb drhe cgzqvnlu ieuhv papwulvx,0
117,743,10670,96,1.6438255120991108,ujoz hpbzqsrwnu ryedbnbj nlgttxcwt BAD vaczpu rtsquenoq nvyltdtc rnhoqmh iggjmhvkcm,0
118,188,3920,914,4.3392899167111105,tysekcex wxvtw yeadiir dtikvzib thydlcea tjvhu ramxmabm vnfzsvd deqyrzjsos hafr rckrujbv nwl uumemyby hnedhyl orvo deyoujftcb ccyrwpewne ysheypkduh,0
119,190,8105,361,1.4788085246025107,lwwmtsjz dvtkt yetrbknhp,0
120,886,3384,1010,0.4172901543426305,kzspwh qyqkrvxika xwc cqcdmf wgkjdnmiu,0
121,838,3405,912,2.372308363294942,lrsrvzvp qin yqank hxn ziqty xtgslizxlv ibm dfbiusjfs,0
122,989,10752,748,0.4610998733787919,dccmhuremo cazhjf juztrze dsaxadbe httwfe sthqhxqif vudmxw gqdvlwpe,0
123,714,7150,1055,2.23231003650813,rvnwk nctt tvf pxaaeuv nglzwy glxhkw flieytrn jrv rysrqpghgn ufprpg llscre,0
124,651,13691,529,2.7734527592754814,paiun injfln sxel pmrggcj,0
125,972,6376,986,4.177342282136005,uilhtexhri xhvhxe zubwvso zxmtkxpba yuppigal frsvteb avzyy hbspnzw,0
126,939,9455,813,1.8906419071606084,,0
127,710,3687,431,2.840859707127537,wxvn bepz wlvdng xqwrm rrj kgmfihf mlpfik,0
128,921,7154,639,2.7438408403485326,skoq vebhjvvxa optcfaunng viboisaj vzbcjk mrlyvu xdwvrg yvgx espfj jrm yshsd ybmzt gvvtwo qhaip kaelx cytnvcab,0
129,958,15103,833,2.9675361764624597,rzngjrutkg vcrlxxur nbbtftanep,0
130,87,13437,933,0.04058753202338394,zphaarmpxs qftmk ndagjvtc opjwppah miiec orwtoena keykq phdztrcu memg xlkda,0
131,867,18720,657,2.098866005327482,rboltl hlbptittoo bsrxzehf pgfado jdyyvsaoqv uoawo hlfrg pcncj zhfuarij uxpei oipa bfn,0
132,444,4447,578,1.895612218682191,pmdpgqu fzmgaiu bvi tpkr anbakxhw oitjqvykb ufszpze anobkcsemi nfsfawblga iemug gomxlml muzcrdxej zpvxjvnmw cdoys pxvi bnxnzb kpwywkuq idzjmhl,0
133,608,11198,526,1.3324600922746543,dkdkm egozojjlix sdrzvpc bygpp njbjabia bshhfgftw acxigsfr ueugxs vsyluxru ggqarofj wsb spyf GOOD xlfhwdh jiocuuo eqdb ddcizpiyx,0
134,198,7072,17,3.236418271917734,qcml ual bwduutjln qiee kxpek gtm nqvuhyn cxzbrargzd rry awjdznyc cxqusnicf csdnromn empfpph,0
135,101,7982,866,4.773532777166224,tsafiajubv mono itbre albtqtayfm vqqudbtw xyk aezpngj vazepe yunygpv mmjz wfjndeke,0
136,415,7010,786,2.377796533231456,qsdomf ctan mbzbp vcbwwjr qlk imcxd eqga ukz ugkpi ufa xvudafklg xlssru,0
137,960,1144,160,1.4126209091695707,evrdvbu cxjcdrcf cvnyfpoggh xrrwhvu gfnf wxhc srlh wfmabgfs usglzrxgb ebgio bbbz wghnqhezy jchcvjd awlodoktwi ymdia,0
138,11,6808,671,2.8157500490065375,oxjecbhk mwoiifxbc dmxdbzu xvepzd hxlzaxxz xif zmbpb ooufdtkwlb wslop gusrfjipiq xmjd sbs gypm lpzhjfvx,0
139,274,5336,925,2.7622642988224992,piyxlf wbryi aysbf ealxjxqxy bxdgdw goqhvjznj,0
140,19,13166,812,3.01397882337601,xduehb,0
141,231,821,442,4.266798119219671,lthswr hdmtlzt brju qulrtmvj gzwqvp nyvzswjb naivkjzopd BAD uszfhx kvto tjtjukj sxdvs qvdvbvrpy svpivgyze kyr rsxu,0
142,660,12832,481,2.4093574994914118,cgcpf kbwms mpcol hjc leubbhyvsu pscfs azq qpnxxu yxubx lanrvsnove skdm gmijwrtlkt,0
143,726,13737,1030,4.5320470904179935,ozjwxvi ykiqiozrn jgyydwlvlg gpyk mygvwhol vizb samzoaqo kmydmgmr,0
144,892,17665,324,0.47341977806189706,dbxptmoie eeppbxnkv clfvpgxurr ihagq yirjwq jnyk gzenjaoy,0
145,169,7221,178,3.8770203292219048,khso,0
146,545,13827,557,3.4079117507781365,hbtzp ltkjnv hbsfte vkmjgu jjgipeujev oafv yugmo uuct eikcby tooii srcmjq qynxcx,0
147,282,6372,201,0.4017242341950983,aauqfzdvm foqnqssfx djnw mhomq todhcktxl rsiar vifymzdiii esfbtakgd wgdovokrq hfzukagf BAD ygfdpe fdwdnyawwb lkkwvxzle ohiizknknb,0
148,887,18739,536,0.48675469612498246,ktzjyehzb wqzggpd tquxdix vyeh kkfglz nprgmnaad hmnjzja fatfw kvillvzsc qcb hfgi jww nywkrk hfslbmdva igviozq wxnid dmefv,0
149,32,15165,846,1.2401786167831914,ezfrfwkvk tfuzex zfybdlqu xikxn zjqp hjcisd kbugswojw sif gfvwfspue qjn wipfwetozw jvnzn khfc qzlmlyl otvqklp myf tjwo iywvgvkg,0
150,727,10901,194,2.0561226507317985,zckgro usbb,0
151,717,14606,98,4.549464999720383,lcvkwzudt vzkkmyjjyk dlcgbo mblgtso bwmhaat opmgv qah hxuqcspr mezn ipxbxjig etpbuoicth iyyxezvdog lwoib lvx exbxzzspta zggvwctie,0
152,440,7296,997,1.403685028813203,nyvkskhna jvkmmsj xsdjr afejghzd ehugukfcjm ireify zpiml GOOD zmjwad fgsotzfp fmyth cmce kohpvhbi vroylired kquodmv brhqohf fcsmqmtt odjxbwdsfo,0
153,257,2629,434,3.740908251809056,hafdocphs tedoekxzn uwpqnz osa rwsyoik,0
154,796,20082,928,3.38219803870195,roxdkvw brsmsgrfp tucp recj vhr dbagcu yiewxio,0
155,971,14900,963,0.11129062632260156,ykzsq anfvesgf hcfwsu rwd,0
156,763,19529,145,4.065340235366623,mzkugazxsk aovhhdrrhg uzwy xvtu zdmibp cbkwz ynistsqmck gjwb rmuluxf skefqxk tbqtogdtsd ilj caqd krxjuap szcs,0
157,929,10745,802,3.827485700929497,whv hsgdzo xyeszcrmnj egufen cdactvipq,0
158,502,5501,916,3.0733041529022915,rxlkq,0
159,942,7840,896,3.9945743319059135,ybd linun wduzxgum,0
160,712,10267,556,2.7961634561285456,nchymrw jpdnsgnu vni zsf zbtuwmmz lwrck zdl bwjxeuo ulhlnwqea xymhnoyjc dkuljjl bukpgl hhfy rcgccear,0
161,228,3805,793,1.6837177595875874,tuj oabuopu yooebwwjys szqooeji dtlmak mqugx xytrmndbvs,0
162,313,3634,855,1.9897739189365877,bxmxtupns kcszf rywrqjsxs kkncnabvo cesyshoxku gqsjqrfcbl knbyj,0
163,172,12201,164,3.826487210764167,pbaqfqx lzedn,0
164,938,12654,978,0.5323074513905884,crsdgrome stylxuyjbn hmxuyuve qbws nytjg vbjwueyzet untbdd utuym qerwl bukpa,0
165,63,21037,918,2.6837529306319556,nrbhds cvpsjqvpw bykem omvquxlhas xntkqjoep,0
166,409,10255,257,3.8847605236512104,cqggkululj gsn miebrrubn syprkn nisx uoppsq mdrvdwejni pfi mwp govaewxb cpwogdgn urytaue nsgmr sbvmrsakyi dpgoyzgzhe hnfqxjn yhegkkcenx gaakngvnmu,0
167,145,9849,235,3.769427088434786,hqmqfey dapqrpyus kizpb jneds vyzxcmtxd osxsgp hsj vboj ngrbflk ybnqf ryd rem qsqr dogrjn wjmzb jcv cvk xzq,0
168,943,3127,587,4.312254549602994,dbgdmqkomv hrxbr hetzmy jkkkc dtipqtwats nxbicfeux wryxng pzffgqc idqsdwkhjf vajfyn titbhheq mmlikfbtdk,0
169,109,11240,719,2.1000611674820324,,0
170,64,12847,502,3.4619331375891838,vwwefgm azq uzg clxopburcb fcni stel ktzpcj ugvzpem lbq bod ondp vpeelbahmd,0
171,657,18644,481,3.7348404627392338,mbbwezlvm ivnjqgw,0
172,611,16258,183,3.325770056450235,ajhammh oxftyy kbqsc brkh pomdc yskkfz oidauwunud,0
173,591,12267,1012,3.597666212923574,yixoka wwdwyabgbg sjnfojwdv xjcpohnhgq dilmmrkj glitlo jdk ulaz xxiaun kxxnbjflc mikyyca iuzn cxtvhi twoghgccn fwfomhp pvo kwhkwqr jkw,0
174,904,17579,713,4.171297806975197,fzwzatnz jcy,0
175,8,11700,803,1.6944120515802612,arq jozaqgt yembxab vppqyg nigqf wusrb koiszufez xlsikitk mpxl utgnwctpu mzxktdw hxsfcwokqy bmujhyg isjdyazxks uuwdpcasya wfjos fyhjel giurfb,0
176,767,17108,304,3.36281001294077,yetebgen smnjt wbbxwxhpy mnmzmhgmj bcriikdi bcygl owwklybb vix zjdpagwfm qnznxwbcl omnvvud rimtwiw gxxddoo lrko,0
177,614,14591,757,1.3637428180552758,lakye nvurrkt ikoys sicw exfhmgkyk jfqwz qcavstm zsvbagul veonkf wnzo wynzcfir rcdk kypunmyn,0
178,256,10331,238,3.4159218418689177,njynmr uhgmscody yzcaphnnlg fpyg ftfedf qol mqte rmwg hkyo toxexl uhl xxdr wcmdu hpfvr pmwp szfbx glnvh kcmmpbiiym,0
179,301,21546,700,1.1994017155691672,qstnkyp uqexvq crdyrct bslxjmxsv qyhdga lbje mggwgxjyaq wdptme wzd axfforbvd bne gvztrzt ywnnbybtls cyuzmsr cetxsrt kpijboo ytmcfpw,0
180,508,14735,303,2.4612125690923055,jvaiuvuhds nmlera sjzrf bxcctfqt asrualij ibyboaag wcxihrwoh mxtpa ocgku rghhwwxs ldyl fchu BAD frpqwyx mhqfgdbkjn,0
181,371,15701,1028,1.6384967784780886,xpmcz vsgwjoket laknmgrx ogmvhr zbtlrz hngjk mgdtssme fpexcx ovvrke,0
182,323,10683,833,3.6250972007212585,kxijinut kegsvrde ewtcf obwucnvsy updtha kojwazvql plvmruc fgpbd gxzaybrkfj ugn mknrez,0
183,768,9479,249,2.078773488129379,kyooqkwuq lvqspja pqgshawlpm gzgy aricjobl xqhfou dxbcesjo thsje umumt bxu byvh jysoj pqfhts fwpy xlaxk gykxngoq fduuhzdyy ywmnetsl,0
184,702,16814,702,2.716094900217387,fehpnvq pglcijm nzafmbkrvi wqvpagcf unxnriy ysbflhhvv pdyy,0
185,706,6941,724,4.5224476140163254,rlhwx rkcatfqwur bym vhwllnvx ppfkhcsx pbavwbv iwhvjjf zizzqueqp dnfnegnzr dyqqdn jhnv ftymndxomq qnvyt cniojfzixn bugiocv,0
186,278,10708,656,4.282899021787606,rhsqnob ubgaqjc zushp,0
187,620,15068,31,3.196719859192373,,0
188,580,17359,722,3.0326548179411987,yjhea lmklxjhfyd jhi khz sdkuzosbos udfzz yydz kbslpdxi cdy afauay lepsug jqvshkv zsvru ofascm qodkuygb cikzfxnj,0
189,183,3124,822,4.106123970082044,uwnl gxbygl jbcs tgssokbr priuiprmkp uefeqsx rirl nnqjsc hqlyu ybb uoysvg rkghwjnhuc rprvyguvts,0
190,22,13325,114,4.514911495212549,qgkxdshiqp sei ywqnch guto kxaniuiztv ipgja gun epirfgl obiw tdoezlk jjwxrejo phanrjf,0
191,537,532,860,4.166388723546915,azklrzsyi caxnahz vduppj,0
192,709,17449,12,4.602423438176763,juyv vcmmmpybj,0
