food_id,dining_hall_id,days,meal_type
522,1005,Th,Breakfast
2779,1005,Th,Breakfast
4699,1005,Th,Breakfast
18088,1005,Th,Breakfast
18275,437,Th,Breakfast
8837,1005,Th,Breakfast
1622,1036,Th,Breakfast
5953,1005,Th,Breakfast
10022,1005,Th,Breakfast
10025,1005,Th,Breakfast
10029,426,Th,Breakfast
11131,169,Th,Breakfast
851,1005,F,Breakfast
877,1005,F,Breakfast
10047,1005,F,Breakfast
10048,1005,F,Breakfast
10049,17,F,Breakfast
2690,1005,F,Breakfast
841,1005,F,Breakfast
833,1005,F,Breakfast
2949,1005,F,Breakfast
4255,1005,F,Breakfast
9134,1005,F,Breakfast
15810,1005,F,Breakfast
13952,1005,F,Breakfast
19232,1005,F,Breakfast
522,694,F,Breakfast
2779,1005,F,Breakfast
12604,1005,F,Breakfast
18088,497,F,Breakfast
18275,1005,F,Breakfast
8837,1005,F,Breakfast
1622,1005,F,Breakfast
13288,38,F,Breakfast
5953,84,F,Breakfast
10022,791,F,Breakfast
10025,691,F,Breakfast
10029,1005,F,Breakfast
11131,1005,F,Breakfast
851,1005,S,Breakfast
877,1005,S,Breakfast
10047,1005,S,Breakfast
10048,1005,S,Breakfast
10049,118,S,Breakfast
3136,1005,S,Breakfast
13952,210,S,Breakfast
19232,1005,S,Breakfast
12604,1005,S,Breakfast
1622,1005,S,Breakfast
5953,580,S,Breakfast
10022,1005,S,Breakfast
10025,1005,S,Breakfast
10029,980,S,Breakfast
11131,1005,S,Breakfast
851,306,Su,Breakfast
877,1005,Su,Breakfast
10047,595,Su,Breakfast
10048,544,Su,Breakfast
10049,510,Su,Breakfast
833,1005,Su,Breakfast
841,439,Su,Breakfast
2690,1005,Su,Breakfast
3136,1005,Su,Breakfast
13952,969,Su,Breakfast
19232,238,Su,Breakfast
522,1005,Su,Breakfast
12644,762,Su,Breakfast
12604,1005,Su,Breakfast
18088,425,Su,Breakfast
18275,1005,Su,Breakfast
1622,597,Su,Breakfast
5953,1005,Su,Breakfast
10022,948,Su,Breakfast
10025,1005,Su,Breakfast
10029,47,Su,Breakfast
11131,1005,Su,Breakfast
851,1005,M,Breakfast
877,1005,M,Breakfast
10047,645,M,Breakfast
10048,1005,M,Breakfast
10049,1005,M,Breakfast
2690,633,M,Breakfast
841,1005,M,Breakfast
833,1005,M,Breakfast
7755,1005,M,Breakfast
2949,1005,M,Breakfast
9134,1005,M,Breakfast
15810,1005,M,Breakfast
13952,1005,M,Breakfast
19232,1005,M,Breakfast
12604,67,M,Breakfast
8837,702,M,Breakfast
14135,786,M,Breakfast
1622,1005,M,Breakfast
13288,1005,M,Breakfast
5953,1005,M,Breakfast
10022,1005,M,Breakfast
10025,78,M,Breakfast
10029,1005,M,Breakfast
11131,1005,M,Breakfast
851,1005,T,Breakfast
877,1005,T,Breakfast
10047,1005,T,Breakfast
10048,1005,T,Breakfast
10049,1005,T,Breakfast
841,1005,T,Breakfast
833,1005,T,Breakfast
2690,575,T,Breakfast
3356,274,T,Breakfast
3384,1005,T,Breakfast
9134,1005,T,Breakfast
15810,1005,T,Breakfast
13952,927,T,Breakfast
19232,157,T,Breakfast
12644,1005,T,Breakfast
12604,193,T,Breakfast
8837,1005,T,Breakfast
1622,1005,T,Breakfast
13288,807,T,Breakfast
5953,1005,T,Breakfast
10022,1005,T,Breakfast
10025,1005,T,Breakfast
10029,1005,T,Breakfast
11131,1005,T,Breakfast
851,796,W,Breakfast
877,1005,W,Breakfast
10047,1005,W,Breakfast
10048,1005,W,Breakfast
10049,1005,W,Breakfast
833,1005,W,Breakfast
841,1005,W,Breakfast
2690,1005,W,Breakfast
3303,1005,W,Breakfast
2803,1006,W,Breakfast
9134,88,W,Breakfast
15810,1005,W,Breakfast
13952,1005,W,Breakfast
19232,1005,W,Breakfast
4321,680,W,Breakfast
12644,1005,W,Breakfast
12604,1005,W,Breakfast
8837,240,W,Breakfast
1622,1005,W,Breakfast
5953,1005,W,Breakfast
10022,1005,W,Breakfast
10025,1005,W,Breakfast
10029,1005,W,Breakfast
11131,1005,W,Breakfast
13288,1005,Th,Breakfast
851,1005,Th,Breakfast
877,1005,Th,Breakfast
10047,845,Th,Breakfast
10048,1005,Th,Breakfast
10049,854,Th,Breakfast
833,1005,Th,Breakfast
841,1005,Th,Breakfast
2690,1005,Th,Breakfast
3356,1005,Th,Breakfast
3405,1006,Th,Breakfast
9134,1005,Th,Breakfast
15810,1005,Th,Breakfast
13952,464,Th,Breakfast
19232,1005,Th,Breakfast
12644,432,Th,Breakfast
12604,1005,Th,Breakfast
8837,1005,Th,Breakfast
1622,1041,Th,Breakfast
5953,1005,Th,Breakfast
10022,1005,Th,Breakfast
10025,1005,Th,Breakfast
10029,1005,Th,Breakfast
11131,1005,Th,Breakfast
851,1005,F,Breakfast
877,1005,F,Breakfast
10047,1005,F,Breakfast
10048,1005,F,Breakfast
10049,1005,F,Breakfast
2690,1005,F,Breakfast
833,11,F,Breakfast
841,1005,F,Breakfast
2949,1005,F,Breakfast
4255,1005,F,Breakfast
9134,386,F,Breakfast
15810,1005,F,Breakfast
13952,1005,F,Breakfast
19232,844,F,Breakfast
12644,1005,F,Breakfast
12604,668,F,Breakfast
8837,1005,F,Breakfast
1622,1005,F,Breakfast
13288,1005,F,Breakfast
5953,1005,F,Breakfast
10022,1005,F,Breakfast
10025,1005,F,Breakfast
10029,1005,F,Breakfast
11131,1005,F,Breakfast
851,1005,S,Breakfast
877,1005,S,Breakfast
10047,1006,S,Breakfast
10048,1005,S,Breakfast
10049,1005,S,Breakfast
2690,1005,S,Breakfast
841,678,S,Breakfast
833,24,S,Breakfast
3136,1005,S,Breakfast
13952,1005,S,Breakfast
19232,1005,S,Breakfast
12644,1005,S,Breakfast
12604,1005,S,Breakfast
1622,1005,S,Breakfast
5953,444,S,Breakfast
10022,27,S,Breakfast
10025,141,S,Breakfast
10029,1005,S,Breakfast
11131,1005,S,Breakfast
851,1005,Su,Breakfast
877,322,Su,Breakfast
10047,1005,Su,Breakfast
10048,1005,Su,Breakfast
10049,1005,Su,Breakfast
3136,654,Su,Breakfast
13952,380,Su,Breakfast
19232,1005,Su,Breakfast
12644,1005,Su,Breakfast
12604,1005,Su,Breakfast
1622,1005,Su,Breakfast
5953,1005,Su,Breakfast
10022,244,Su,Breakfast
10025,1005,Su,Breakfast
10029,1005,Su,Breakfast
11131,1005,Su,Breakfast
851,496,M,Breakfast
877,908,M,Breakfast
10047,501,M,Breakfast
10048,940,M,Breakfast
10049,1005,M,Breakfast
7755,1005,M,Breakfast
2949,1005,M,Breakfast
9134,1005,M,Breakfast
15810,433,M,Breakfast
13952,1005,M,Breakfast
19232,1005,M,Breakfast
522,1005,M,Breakfast
12644,1005,M,Breakfast
12604,1005,M,Breakfast
8837,1005,M,Breakfast
14135,289,M,Breakfast
1622,1005,M,Breakfast
13288,1005,M,Breakfast
5953,424,M,Breakfast
10022,1005,M,Breakfast
10025,1005,M,Breakfast
10029,1005,M,Breakfast
11131,1005,M,Breakfast
851,1005,T,Breakfast
877,368,T,Breakfast
10047,1005,T,Breakfast
10048,1005,T,Breakfast
10049,1005,T,Breakfast
3356,1005,T,Breakfast
3384,1005,T,Breakfast
9134,1005,T,Breakfast
15810,1005,T,Breakfast
13952,1005,T,Breakfast
19232,61,T,Breakfast
12644,1005,T,Breakfast
8837,1005,T,Breakfast
1622,1005,T,Breakfast
13288,1005,T,Breakfast
5953,1005,T,Breakfast
10022,1005,T,Breakfast
10025,1005,T,Breakfast
10029,1005,T,Breakfast
11131,849,T,Breakfast
851,321,W,Breakfast
877,1005,W,Breakfast
10047,1005,W,Breakfast
10048,159,W,Breakfast
10049,1005,W,Breakfast
3303,152,W,Breakfast
2803,1005,W,Breakfast
9134,1005,W,Breakfast
15810,1005,W,Breakfast
13952,726,W,Breakfast
19232,1005,W,Breakfast
4321,1005,W,Breakfast
12644,1005,W,Breakfast
12604,1005,W,Breakfast
8837,1005,W,Breakfast
1622,1005,W,Breakfast
5953,1005,W,Breakfast
10022,425,W,Breakfast
10025,1005,W,Breakfast
10029,1005,W,Breakfast
11131,1005,W,Breakfast
851,590,Th,Breakfast
877,363,Th,Breakfast
10047,56,Th,Breakfast
10048,1005,Th,Breakfast
10049,1005,Th,Breakfast
3356,1005,Th,Breakfast
3405,1005,Th,Breakfast
9134,692,Th,Breakfast
15810,498,Th,Breakfast
13952,1005,Th,Breakfast
19232,1005,Th,Breakfast
12644,1005,Th,Breakfast
12604,1005,Th,Breakfast
8837,1005,Th,Breakfast
1622,1005,Th,Breakfast
5953,1005,Th,Breakfast
10022,1005,Th,Breakfast
10025,1026,Th,Breakfast
10029,1005,Th,Breakfast
11131,1005,Th,Breakfast
851,1005,F,Breakfast
877,1005,F,Breakfast
10047,333,F,Breakfast
10048,1005,F,Breakfast
10049,1005,F,Breakfast
2949,1005,F,Breakfast
4255,1005,F,Breakfast
9134,1005,F,Breakfast
15810,1005,F,Breakfast
13952,1005,F,Breakfast
19232,1005,F,Breakfast
12644,1005,F,Breakfast
12604,1005,F,Breakfast
8837,891,F,Breakfast
1622,1005,F,Breakfast
13288,1005,F,Breakfast
5953,1005,F,Breakfast
10022,1005,F,Breakfast
10025,1005,F,Breakfast
10029,1005,F,Breakfast
11131,124,F,Breakfast
851,1005,S,Breakfast
877,1005,S,Breakfast
10047,1005,S,Breakfast
10048,1005,S,Breakfast
10049,1005,S,Breakfast
3136,359,S,Breakfast
13952,184,S,Breakfast
19232,1005,S,Breakfast
12644,1005,S,Breakfast
1622,1005,S,Breakfast
5953,1005,S,Breakfast
10022,1005,S,Breakfast
10025,1039,S,Breakfast
10029,644,S,Breakfast
11131,1005,S,Breakfast
13688,754,M,Breakfast
3634,99,M,Breakfast
841,467,M,Breakfast
2690,1005,M,Breakfast
15157,1005,M,Breakfast
3136,1005,M,Breakfast
13531,1005,M,Breakfast
3612,1005,M,Breakfast
16682,1005,M,Breakfast
12885,1005,M,Breakfast
13688,1005,T,Breakfast
3634,1005,T,Breakfast
841,1005,T,Breakfast
2690,305,T,Breakfast
15157,1005,T,Breakfast
3136,1005,T,Breakfast
13531,1005,T,Breakfast
3612,1005,T,Breakfast
16682,1005,T,Breakfast
12885,1005,T,Breakfast
13688,1005,Th,Breakfast
3634,1005,Th,Breakfast
841,1005,Th,Breakfast
2690,1005,Th,Breakfast
3676,1005,Th,Breakfast
15157,797,Th,Breakfast
3136,395,Th,Breakfast
13531,1005,Th,Breakfast
3612,1005,Th,Breakfast
16682,1005,Th,Breakfast
12885,269,Th,Breakfast
13688,1005,F,Breakfast
3634,202,F,Breakfast
841,1005,F,Breakfast
2690,784,F,Breakfast
15157,1005,F,Breakfast
3136,1005,F,Breakfast
13531,1005,F,Breakfast
3612,1005,F,Breakfast
16682,1005,F,Breakfast
12885,1005,F,Breakfast
13688,1005,M,Breakfast
3634,25,M,Breakfast
841,1005,M,Breakfast
2690,1005,M,Breakfast
15157,1005,M,Breakfast
3136,446,M,Breakfast
13531,1005,M,Breakfast
3612,629,M,Breakfast
16682,1005,M,Breakfast
12885,1005,M,Breakfast
13688,1005,T,Breakfast
3634,1005,T,Breakfast
841,1005,T,Breakfast
2690,822,T,Breakfast
15157,1005,T,Breakfast
3136,1005,T,Breakfast
13531,1005,T,Breakfast
3612,28,T,Breakfast
16682,1005,T,Breakfast
12885,1005,T,Breakfast
13688,1005,W,Breakfast
3634,1005,W,Breakfast
841,402,W,Breakfast
2690,1005,W,Breakfast
15157,1005,W,Breakfast
3136,1005,W,Breakfast
13531,1005,W,Breakfast
3612,1005,W,Breakfast
16682,604,W,Breakfast
12885,1005,W,Breakfast
13688,1005,Th,Breakfast
3634,1005,Th,Breakfast
841,1005,Th,Breakfast
2690,1005,Th,Breakfast
15157,1005,Th,Breakfast
3136,971,Th,Breakfast
13531,1005,Th,Breakfast
3612,355,Th,Breakfast
16682,1005,Th,Breakfast
12885,950,Th,Breakfast
13688,1005,F,Breakfast
3634,1005,F,Breakfast
841,1005,F,Breakfast
2690,1005,F,Breakfast
15157,1005,F,Breakfast
3136,1005,F,Breakfast
13531,1005,F,Breakfast
3612,109,F,Breakfast
16682,1005,F,Breakfast
12885,1005,F,Breakfast
13688,1005,M,Breakfast
3634,279,M,Breakfast
841,1005,M,Breakfast
2690,880,M,Breakfast
3676,1005,M,Breakfast
15157,1005,M,Breakfast
3136,733,M,Breakfast
13531,1047,M,Breakfast
3612,1005,M,Breakfast
12885,1005,M,Breakfast
13688,1005,T,Breakfast
3634,1005,T,Breakfast
841,1005,T,Breakfast
2690,1005,T,Breakfast
3676,1005,T,Breakfast
15157,1005,T,Breakfast
3136,1005,T,Breakfast
13531,1005,T,Breakfast
3612,1005,T,Breakfast
16682,344,T,Breakfast
12885,1005,T,Breakfast
13688,1005,W,Breakfast
3634,1005,W,Breakfast
841,54,W,Breakfast
2690,967,W,Breakfast
3676,1005,W,Breakfast
15157,1005,W,Breakfast
3136,939,W,Breakfast
13531,786,W,Breakfast
3612,1005,W,Breakfast
16682,1005,W,Breakfast
12885,1005,W,Breakfast
13688,369,Th,Breakfast
3634,694,Th,Breakfast
841,481,Th,Breakfast
2690,1005,Th,Breakfast
3676,821,Th,Breakfast
15157,1005,Th,Breakfast
3136,1005,Th,Breakfast
13531,559,Th,Breakfast
3612,1005,Th,Breakfast
16682,1005,Th,Breakfast
12885,1005,Th,Breakfast
13688,1005,F,Breakfast
3634,1005,F,Breakfast
841,1005,F,Breakfast
2690,1005,F,Breakfast
3676,1005,F,Breakfast
15157,1005,F,Breakfast
3136,1005,F,Breakfast
13531,501,F,Breakfast
3612,1005,F,Breakfast
16682,1005,F,Breakfast
12885,911,F,Breakfast
13688,1005,T,Breakfast
3634,534,T,Breakfast
841,334,T,Breakfast
2690,1005,T,Breakfast
15157,1005,T,Breakfast
3136,1005,T,Breakfast
13531,1005,T,Breakfast
3612,1005,T,Breakfast
16682,1005,T,Breakfast
12885,449,T,Breakfast
13688,1005,W,Breakfast
3634,879,W,Breakfast
841,1005,W,Breakfast
2690,751,W,Breakfast
15157,83,W,Breakfast
3136,1001,W,Breakfast
13531,564,W,Breakfast
3612,1005,W,Breakfast
16682,1005,W,Breakfast
12885,1005,W,Breakfast
13688,1005,Th,Breakfast
3634,1005,Th,Breakfast
841,1005,Th,Breakfast
2690,1005,Th,Breakfast
15157,36,Th,Breakfast
3136,1005,Th,Breakfast
13531,1005,Th,Breakfast
3612,1005,Th,Breakfast
16682,49,Th,Breakfast
12885,1005,Th,Breakfast
13688,1005,F,Breakfast
3634,1005,F,Breakfast
841,1005,F,Breakfast
2690,1005,F,Breakfast
15157,1005,F,Breakfast
3136,1005,F,Breakfast
13531,591,F,Breakfast
3612,1005,F,Breakfast
16682,1005,F,Breakfast
12885,1005,F,Breakfast
13688,1036,M,Breakfast
3634,1005,M,Breakfast
841,1005,M,Breakfast
2690,1005,M,Breakfast
15157,1005,M,Breakfast
3136,1005,M,Breakfast
13531,1005,M,Breakfast
3612,1005,M,Breakfast
16682,1005,M,Breakfast
12885,1005,M,Breakfast
13688,314,T,Breakfast
3634,1005,T,Breakfast
841,1005,T,Breakfast
2690,1005,T,Breakfast
15157,1005,T,Breakfast
3136,1005,T,Breakfast
13531,63,T,Breakfast
3612,1005,T,Breakfast
16682,529,T,Breakfast
12885,1005,T,Breakfast
13688,1005,W,Breakfast
3634,1005,W,Breakfast
841,1005,W,Breakfast
2690,1005,W,Breakfast
15157,1005,W,Breakfast
3136,72,W,Breakfast
13531,1005,W,Breakfast
3612,1005,W,Breakfast
16682,476,W,Breakfast
12885,223,W,Breakfast
13688,1005,Th,Breakfast
3634,835,Th,Breakfast
841,1005,Th,Breakfast
2690,1005,Th,Breakfast
3676,1005,Th,Breakfast
15157,1005,Th,Breakfast
3136,735,Th,Breakfast
13531,1005,Th,Breakfast
3612,1005,Th,Breakfast
16682,1005,Th,Breakfast
12885,1005,Th,Breakfast
13688,99,F,Breakfast
3634,1005,F,Breakfast
841,1005,F,Breakfast
2690,629,F,Breakfast
15157,1005,F,Breakfast
3136,1005,F,Breakfast
13531,47,F,Breakfast
3612,1005,F,Breakfast
16682,1005,F,Breakfast
12885,1005,F,Breakfast
13688,403,M,Breakfast
3634,1005,M,Breakfast
841,1005,M,Breakfast
2690,922,M,Breakfast
15157,1005,M,Breakfast
3136,1005,M,Breakfast
13531,1005,M,Breakfast
3612,1005,M,Breakfast
16682,1005,M,Breakfast
12885,597,M,Breakfast
13688,1005,T,Breakfast
3634,783,T,Breakfast
841,591,T,Breakfast
2690,1005,T,Breakfast
15157,1005,T,Breakfast
3136,462,T,Breakfast
13531,1005,T,Breakfast
3612,1005,T,Breakfast
16682,1005,T,Breakfast
12885,1005,T,Breakfast
13688,1005,W,Breakfast
3634,1005,W,Breakfast
841,934,W,Breakfast
2690,503,W,Breakfast
15157,532,W,Breakfast
3136,336,W,Breakfast
13531,27,W,Breakfast
3612,1005,W,Breakfast
16682,1005,W,Breakfast
12885,1005,W,Breakfast
13688,1005,Th,Breakfast
3634,1005,Th,Breakfast
841,438,Th,Breakfast
2690,1005,Th,Breakfast
15157,1005,Th,Breakfast
3136,1005,Th,Breakfast
13531,93,Th,Breakfast
3612,1005,Th,Breakfast
16682,244,Th,Breakfast
12885,829,Th,Breakfast
13688,1005,F,Breakfast
3634,414,F,Breakfast
841,29,F,Breakfast
2690,1005,F,Breakfast
15157,1,F,Breakfast
3136,1005,F,Breakfast
13531,412,F,Breakfast
3612,1005,F,Breakfast
16682,1005,F,Breakfast
12885,1005,F,Breakfast
13688,1005,M,Breakfast
3634,1005,M,Breakfast
841,1005,M,Breakfast
2690,1005,M,Breakfast
3676,72,M,Breakfast
15157,1005,M,Breakfast
3136,700,M,Breakfast
13531,1005,M,Breakfast
3612,1005,M,Breakfast
12885,1005,M,Breakfast
13688,935,T,Breakfast
3634,1054,T,Breakfast
841,1005,T,Breakfast
2690,1005,T,Breakfast
3676,1005,T,Breakfast
15157,1005,T,Breakfast
3136,1005,T,Breakfast
13531,1005,T,Breakfast
3612,915,T,Breakfast
16682,1005,T,Breakfast
12885,761,T,Breakfast
13688,1005,W,Breakfast
3634,46,W,Breakfast
841,1005,W,Breakfast
2690,1005,W,Breakfast
3676,1005,W,Breakfast
15157,1005,W,Breakfast
3136,1005,W,Breakfast
13531,1055,W,Breakfast
3612,1005,W,Breakfast
16682,1005,W,Breakfast
12885,1005,W,Breakfast
13688,988,Th,Breakfast
3634,1005,Th,Breakfast
841,1005,Th,Breakfast
2690,1005,Th,Breakfast
3676,1005,Th,Breakfast
15157,1005,Th,Breakfast
3136,1005,Th,Breakfast
13531,817,Th,Breakfast
3612,872,Th,Breakfast
16682,1005,Th,Breakfast
12885,1005,Th,Breakfast
13688,1005,F,Breakfast
3634,1005,F,Breakfast
841,1005,F,Breakfast
2690,792,F,Breakfast
3676,1005,F,Breakfast
15157,1005,F,Breakfast
3136,254,F,Breakfast
13531,157,F,Breakfast
3612,1005,F,Breakfast
16682,161,F,Breakfast
12885,728,F,Breakfast
13688,1005,M,Breakfast
3634,1005,M,Breakfast
841,1005,M,Breakfast
2690,1005,M,Breakfast
15157,619,M,Breakfast
3136,1005,M,Breakfast
13531,467,M,Breakfast
3612,1005,M,Breakfast
16682,153,M,Breakfast
12885,1005,M,Breakfast
13688,910,M,Breakfast
3634,1005,M,Breakfast
841,482,M,Breakfast
2690,1005,M,Breakfast
15157,1005,M,Breakfast
3136,1005,M,Breakfast
13531,809,M,Breakfast
3612,1005,M,Breakfast
16682,1005,M,Breakfast
12885,1005,M,Breakfast
13688,1005,T,Breakfast
3634,1005,T,Breakfast
841,1005,T,Breakfast
2690,1005,T,Breakfast
15157,1005,T,Breakfast
3136,1005,T,Breakfast
13531,1005,T,Breakfast
3612,1005,T,Breakfast
16682,1005,T,Breakfast
12885,1005,T,Breakfast
13688,1005,W,Breakfast
3634,1005,W,Breakfast
841,1005,W,Breakfast
2690,940,W,Breakfast
15157,1005,W,Breakfast
3136,1005,W,Breakfast
13531,393,W,Breakfast
3612,59,W,Breakfast
16682,1005,W,Breakfast
12885,1005,W,Breakfast
13688,113,Th,Breakfast
3634,1005,Th,Breakfast
841,1005,Th,Breakfast
2690,1005,Th,Breakfast
3676,1005,Th,Breakfast
15157,1005,Th,Breakfast
3136,172,Th,Breakfast
13531,1005,Th,Breakfast
3612,1005,Th,Breakfast
16682,1005,Th,Breakfast
12885,1005,Th,Breakfast
13688,1005,F,Breakfast
3634,1005,F,Breakfast
841,1005,F,Breakfast
2690,1005,F,Breakfast
15157,1005,F,Breakfast
3136,1005,F,Breakfast
13531,1005,F,Breakfast
3612,1005,F,Breakfast
16682,975,F,Breakfast
12885,163,F,Breakfast
13688,1005,M,Breakfast
3634,1005,M,Breakfast
841,1005,M,Breakfast
2690,1005,M,Breakfast
15157,1005,M,Breakfast
3136,1005,M,Breakfast
13531,1005,M,Breakfast
3612,1005,M,Breakfast
16682,448,M,Breakfast
12885,1005,M,Breakfast
13688,1005,T,Breakfast
3634,1005,T,Breakfast
841,848,T,Breakfast
2690,1005,T,Breakfast
15157,1005,T,Breakfast
3136,67,T,Breakfast
13531,1005,T,Breakfast
3612,1005,T,Breakfast
16682,1005,T,Breakfast
12885,1005,T,Breakfast
13688,1005,W,Breakfast
3634,1005,W,Breakfast
841,1005,W,Breakfast
2690,1005,W,Breakfast
15157,1005,W,Breakfast
3136,19,W,Breakfast
13531,1005,W,Breakfast
3612,1005,W,Breakfast
16682,1005,W,Breakfast
12885,62,W,Breakfast
13688,1005,Th,Breakfast
3634,1005,Th,Breakfast
841,939,Th,Breakfast
2690,1005,Th,Breakfast
15157,1005,Th,Breakfast
3136,1005,Th,Breakfast
13531,1014,Th,Breakfast
3612,1005,Th,Breakfast
16682,1005,Th,Breakfast
12885,1005,Th,Breakfast
13688,1005,F,Breakfast
3634,1005,F,Breakfast
841,301,F,Breakfast
2690,1005,F,Breakfast
15157,1005,F,Breakfast
3136,1005,F,Breakfast
13531,1005,F,Breakfast
3612,618,F,Breakfast
16682,1005,F,Breakfast
12885,710,F,Breakfast
13688,1005,M,Breakfast
3634,1005,M,Breakfast
841,638,M,Breakfast
2690,1005,M,Breakfast
3676,79,M,Breakfast
15157,579,M,Breakfast
3136,1005,M,Breakfast
13531,1005,M,Breakfast
3612,1005,M,Breakfast
12885,1005,M,Breakfast
13688,1005,T,Breakfast
3634,1005,T,Breakfast
841,1005,T,Breakfast
2690,1005,T,Breakfast
3676,1005,T,Breakfast
15157,746,T,Breakfast
3136,14,T,Breakfast
13531,1005,T,Breakfast
3612,1005,T,Breakfast
16682,470,T,Breakfast
12885,902,T,Breakfast
13688,1005,W,Breakfast
3634,498,W,Breakfast
841,1005,W,Breakfast
2690,1005,W,Breakfast
3676,1005,W,Breakfast
15157,785,W,Breakfast
3136,1005,W,Breakfast
13531,1005,W,Breakfast
3612,1005,W,Breakfast
16682,537,W,Breakfast
12885,1005,W,Breakfast
13688,1005,Th,Breakfast
3634,1005,Th,Breakfast
841,928,Th,Breakfast
2690,1005,Th,Breakfast
3676,1005,Th,Breakfast
15157,1005,Th,Breakfast
3136,967,Th,Breakfast
13531,1057,Th,Breakfast
3612,519,Th,Breakfast
16682,1005,Th,Breakfast
12885,915,Th,Breakfast
13688,1005,F,Breakfast
3634,1005,F,Breakfast
841,1005,F,Breakfast
2690,25,F,Breakfast
3676,1005,F,Breakfast
15157,1005,F,Breakfast
3136,1005,F,Breakfast
13531,896,F,Breakfast
3612,1005,F,Breakfast
16682,1005,F,Breakfast
12885,939,F,Breakfast
13688,1005,M,Breakfast
3634,618,M,Breakfast
841,1005,M,Breakfast
2690,1005,M,Breakfast
15157,1005,M,Breakfast
3136,1005,M,Breakfast
13531,1005,M,Breakfast
3612,1005,M,Breakfast
16682,1005,M,Breakfast
12885,1005,M,Breakfast
13688,1005,M,Breakfast
3634,1005,M,Breakfast
841,1005,M,Breakfast
2690,1005,M,Breakfast
15157,1005,M,Breakfast
3136,1005,M,Breakfast
13531,1005,M,Breakfast
3612,1005,M,Breakfast
16682,249,M,Breakfast
12885,1005,M,Breakfast
13688,1005,T,Breakfast
3634,1005,T,Breakfast
841,1005,T,Breakfast
2690,382,T,Breakfast
15157,1005,T,Breakfast
3136,1005,T,Breakfast
13531,1060,T,Breakfast
3612,1005,T,Breakfast
16682,1005,T,Breakfast
12885,1005,T,Breakfast
13688,1005,W,Breakfast
3634,1005,W,Breakfast
841,1005,W,Breakfast
2690,1005,W,Breakfast
15157,1005,W,Breakfast
3136,1005,W,Breakfast
13531,1005,W,Breakfast
3612,1005,W,Breakfast
16682,49,W,Breakfast
12885,1005,W,Breakfast
13688,1005,Th,Breakfast
3634,1005,Th,Breakfast
841,926,Th,Breakfast
2690,1005,Th,Breakfast
3676,802,Th,Breakfast
15157,1005,Th,Breakfast
3136,1005,Th,Breakfast
13531,1005,Th,Breakfast
3612,1005,Th,Breakfast
16682,1005,Th,Breakfast
12885,1005,Th,Breakfast
13688,1005,F,Breakfast
3634,1005,F,Breakfast
841,989,F,Breakfast
2690,1005,F,Breakfast
